zip_code,median_income,population_below_poverty,unemployed_population
90022,51183,11746,2192
90063,50913,9310,1815
90065,76080,6225,2148
90303,62826,3146,867
90602,54752,3316,636
90660,70620,5627,1244
90720,109847,1455,719
91024,106719,667,291
91106,84782,3063,952
91107,100866,2130,687
91605,53335,8680,2210
91722,82441,2108,1173
91732,56098,9356,1718
91746,77740,3147,1177
91748,73948,4936,1223
91764,60941,9065,1888
91901,93214,1263,580
92122,81438,10965,1742
92274,26132,4483,1280
92509,76568,9920,3133
92544,53885,9702,1902
92557,76174,6613,1837
92571,69444,7581,1729
92807,120435,1578,852
92823,147847,181,23
92887,139750,583,310
93067,75144,21,0
93101,62925,5008,707
93201,33688,480,153
93208,-666666666,68,22
93215,46752,9129,2442
93224,49500,67,13
92592,108412,4891,2110
92129,126371,3337,1642
93606,-666666666,348,89
93662,43894,6414,1114
93675,57321,436,41
93706,31854,16981,2136
93928,-666666666,0,137
94102,53539,6015,1440
94108,64908,2399,302
94114,162529,2186,984
94130,59211,1444,334
94304,143412,312,8
94512,-666666666,0,0
94514,82538,316,118
94539,188596,1762,1228
94550,150061,1929,876
94558,97759,4114,1361
94566,163499,2296,666
94583,159414,1285,833
94588,157203,1876,824
94704,46735,9705,1000
94707,161332,390,212
94710,97917,1061,160
94904,135972,846,258
94933,109953,190,0
95019,59256,669,555
95020,108494,4267,1960
95030,199063,667,282
95128,100198,3523,644
95135,160901,550,369
95232,62361,58,57
95310,34958,263,17
92027,70009,6113,1573
90712,102687,1570,750
95439,-666666666,175,0
95464,50764,654,197
95511,64954,13,0
95524,61792,198,97
95551,61902,163,75
95562,39073,238,204
95618,100876,5422,635
95630,118006,3725,1502
95653,42985,83,0
95668,75667,34,26
95681,49948,32,46
95692,76071,144,134
95742,133710,743,492
95923,-666666666,0,0
95935,-666666666,46,0
95942,174028,99,92
95949,80216,1564,382
95959,70975,2107,506
92028,80775,6311,1243
96052,50729,305,24
96073,101576,200,41
96084,31563,182,18
92130,157333,2668,1516
92121,118155,800,167
90254,142500,803,464
90620,99351,3722,1102
90621,72000,4670,887
90813,41175,15423,2935
91030,109927,1734,590
91202,81665,2249,1029
91204,55847,3601,947
91335,65740,10112,2514
91342,79572,11515,2443
91502,53580,1814,284
91606,54649,7715,1430
91710,86702,7297,1935
91711,100598,1651,1119
92117,91347,5618,1253
92239,35938,7,0
92397,63705,629,93
92555,91839,3881,1405
92563,96604,3925,1929
92567,79962,1462,182
92606,112688,2856,681
92625,162250,771,93
92655,41538,2166,347
92661,171339,343,36
92663,106209,1827,242
92706,80051,4305,1369
93022,97429,249,100
93110,93264,1332,286
93270,42625,1738,449
93426,80066,125,15
93444,93603,1465,367
93541,48681,13,13
93591,48911,781,175
93612,46892,6138,1240
93615,46886,1728,388
93621,-666666666,0,0
93625,58690,1152,181
93665,30844,0,34
93668,50063,143,85
93932,75446,98,12
93933,73856,3215,737
93954,56111,124,0
94015,100208,4195,1950
94109,98567,6591,1845
94123,179143,1116,515
94402,163442,1069,504
94520,68756,4657,959
94542,115956,1298,623
94559,76960,2826,892
94803,96971,1575,594
94901,99136,5468,681
94945,120692,1290,293
94970,122721,64,11
95032,153214,888,570
95039,41154,225,20
95110,98209,2368,503
95126,108503,3809,1024
95127,104518,4533,1806
95207,54951,9047,2268
95222,53674,611,169
95250,-666666666,0,0
95303,115500,228,46
95306,39353,114,31
95323,75197,172,93
95372,82979,113,52
95417,65875,0,0
95466,40625,318,24
95468,71563,178,62
95488,-666666666,33,27
95543,32500,139,8
95587,-666666666,0,0
95608,67766,7373,1904
95610,65972,5152,1519
95638,70313,154,29
95658,108871,160,216
95678,77437,4049,1310
95703,83657,75,46
95814,37595,2665,383
95819,113879,1148,553
95835,104404,1507,842
95838,50161,8153,1545
95920,46875,67,1
95930,-666666666,0,0
95971,58523,647,141
95982,84500,170,97
95984,-666666666,161,40
96006,51964,104,23
96074,45625,2,0
96080,49259,5090,1219
96109,63218,238,30
96125,96406,0,0
96148,81833,0,0
90007,30530,13792,2788
90024,63344,11077,2221
90028,50253,6323,2296
90039,88104,2742,1017
90230,87469,3966,810
90232,98116,1077,442
90248,63620,1093,337
90501,75388,5184,1357
90640,62521,7616,2409
90713,108311,1306,870
91007,84833,3011,759
91304,71039,6222,1667
91381,134115,965,877
91384,111990,1106,731
91401,57493,7942,1428
91790,84505,3370,1269
91906,48100,1047,86
91915,125864,2244,1010
91978,84266,1321,478
92003,89201,520,152
92029,96690,975,215
92059,96500,137,30
92061,43787,456,28
92084,77970,5091,1027
92210,108750,324,79
92241,31478,1560,152
92258,-666666666,269,53
92325,63707,1131,216
92356,36701,2212,345
92373,81557,2710,954
92382,66011,572,111
92394,61270,7512,1504
92408,57197,2619,495
92508,121021,2710,967
92532,92288,3320,938
92570,62764,9427,2214
92590,63938,1096,154
92620,116650,3238,1043
92705,106058,3970,774
93010,95836,2958,1023
93066,106900,127,44
93210,61808,2705,635
93218,26905,237,36
93234,31788,2996,580
93251,46719,32,12
93277,65975,6552,1260
93287,101250,3,0
93516,51012,671,54
93551,93637,3328,1282
93627,-666666666,0,0
93648,38724,5038,321
94014,98879,3146,1185
94019,140460,1256,403
94021,246133,54,23
94027,250001,174,134
94104,56944,68,7
94519,105774,1954,386
94525,89630,198,130
94533,75544,8766,2720
94564,105217,702,529
