customer_id,quarter,tenure_in_months,phone_service,internet_service,internet_type,contract,payment_method,monthly_charge,total_charges
8779-QRDMV,Q3,1,No,Yes,DSL,Month-to-Month,Bank Withdrawal,39.65,39.65
7495-OOKFY,Q3,8,Yes,Yes,Fiber Optic,Month-to-Month,Credit Card,80.65,633.3
1658-BYGOY,Q3,18,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,95.45,1752.55
4598-XLKNJ,Q3,25,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,98.5,2514.5
4846-WHAFZ,Q3,37,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,76.5,2868.15
4412-YLTKF,Q3,27,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,78.05,2135.5
0390-DCFDQ,Q3,1,Yes,Yes,Fiber Optic,Month-to-Month,Mailed Check,70.45,70.45
3445-HXXGF,Q3,58,No,Yes,DSL,Month-to-Month,Bank Withdrawal,45.3,2651.2
2656-FMOKZ,Q3,15,Yes,Yes,Fiber Optic,Month-to-Month,Mailed Check,74.45,1145.7
2070-FNEXE,Q3,7,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,76.45,503.6
0094-OIFMO,Q3,11,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,95.0,1120.3
9947-OTFQU,Q3,15,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,74.4,1074.3
9514-JDSKI,Q3,1,No,Yes,DSL,Month-to-Month,Bank Withdrawal,40.2,40.2
7273-TEFQD,Q3,3,No,Yes,DSL,Month-to-Month,Bank Withdrawal,41.15,132.2
3606-TWKGI,Q3,13,Yes,Yes,Cable,Month-to-Month,Bank Withdrawal,106.9,1364.3
4385-GZQXV,Q3,16,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,94.45,1511.2
3488-PGMQJ,Q3,8,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,74.5,606.55
7534-BFESC,Q3,24,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,76.1,1712.7
8098-LLAZX,Q3,4,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,95.45,396.1
0265-EDXBD,Q3,32,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,74.9,2303.35
2840-XANRC,Q3,24,Yes,Yes,Cable,Month-to-Month,Bank Withdrawal,93.15,2231.05
5020-ZSTTY,Q3,54,Yes,Yes,DSL,One Year,Bank Withdrawal,82.45,4350.1
5804-LEPIM,Q3,2,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,70.35,139.05
0623-IIHUG,Q3,21,No,Yes,Cable,Month-to-Month,Bank Withdrawal,41.9,840.1
9057-MSWCO,Q3,27,No,Yes,Cable,Month-to-Month,Credit Card,30.75,805.1
4895-TMWIR,Q3,11,Yes,No,No Internet,Month-to-Month,Mailed Check,19.95,214.75
0533-BNWKF,Q3,55,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,85.45,4874.7
0334-GDDSO,Q3,3,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,81.35,233.7
5564-NEMQO,Q3,1,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,75.3,75.3
6235-VDHOM,Q3,5,No,Yes,DSL,Month-to-Month,Bank Withdrawal,28.45,131.05
5609-CEBID,Q3,20,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,94.1,1782.4
5956-VKDTT,Q3,5,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,74.35,334.8
0257-ZESQC,Q3,27,Yes,Yes,Cable,Month-to-Month,Bank Withdrawal,75.2,1929.35
2865-TCHJW,Q3,4,Yes,Yes,Cable,Month-to-Month,Bank Withdrawal,89.2,346.2
5192-EBGOV,Q3,1,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,85.7,85.7
3419-SNJJD,Q3,65,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,105.25,6786.4
4554-YGZIH,Q3,49,Yes,Yes,Fiber Optic,Month-to-Month,Credit Card,90.05,4547.25
5099-BAILX,Q3,43,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,110.75,4687.9
4913-EHYUI,Q3,56,Yes,Yes,Fiber Optic,One Year,Bank Withdrawal,104.55,5794.65
1626-ERCMM,Q3,20,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,94.55,1899.65
