provider_name,subscribers,market_share_pct,data_source,scrape_date
Verizon,146.9 million,Q4 2025,Wikipedia - Wireless Providers,2026-02-09
T-Mobile US,139.9 million,Q3 2025,Wikipedia - Wireless Providers,2026-02-09
AT&T Mobility,120.1 million,Q4 2025,Wikipedia - Wireless Providers,2026-02-09
Appalachian Wireless[5],VoLTE,LTE,Wikipedia - Wireless Providers,2026-02-09
AT&T Mobility•IncludesFirstNetandCricket Wireless,"VoLTE,VoNR,VoIP,Wi-Fi calling","LTE,NR",Wikipedia - Wireless Providers,2026-02-09
Big River Broadband,VoLTE,LTE,Wikipedia - Wireless Providers,2026-02-09
Bravado Wireless,CDMA2000,"EV-DO,LTE",Wikipedia - Wireless Providers,2026-02-09
Boost Mobile•IncludesGen MobileandTing Mobile,"VoNR,Wi-Fi calling[7]",NR[8],Wikipedia - Wireless Providers,2026-02-09
Bug Tussel Wireless,UMTS,"HSPA+,LTE",Wikipedia - Wireless Providers,2026-02-09
C Spire,"VoLTE,Wi-Fi calling","LTE,NR",Wikipedia - Wireless Providers,2026-02-09
Carolina West Wireless,CDMA2000,"EV-DO,LTE",Wikipedia - Wireless Providers,2026-02-09
Cellcom,"VoLTE,Wi-Fi calling","LTE,5G NR[12]",Wikipedia - Wireless Providers,2026-02-09
Cellular One of North East Arizona,"GSM,UMTS,VoLTE","EDGE,HSPA+,LTE",Wikipedia - Wireless Providers,2026-02-09
Colorado Valley Communications,VoLTE,LTE,Wikipedia - Wireless Providers,2026-02-09
Commnet Wireless,"GSM,UMTS,VoLTE","EDGE,HSPA+,LTE",Wikipedia - Wireless Providers,2026-02-09
Custer Telephone Cooperative,CDMA2000,"EV-DO,LTE",Wikipedia - Wireless Providers,2026-02-09
DTC Wireless,VoLTE,LTE,Wikipedia - Wireless Providers,2026-02-09
ETC,CDMA2000,"EV-DO,LTE",Wikipedia - Wireless Providers,2026-02-09
ASTAC,UMTS,"HSPA+,LTE",Wikipedia - Wireless Providers,2026-02-09
AT&T Mobility,"VoLTE,VoNR,VoIP,Wi-Fi calling","LTE,NR",Wikipedia - Wireless Providers,2026-02-09
Bristol Bay Cellular Partnership,CDMA2000,"EV-DO,LTE",Wikipedia - Wireless Providers,2026-02-09
Copper Valley Telecom,VoLTE,LTE,Wikipedia - Wireless Providers,2026-02-09
Cordova Wireless,"GSM,UMTS","EDGE,HSPA+,LTE",Wikipedia - Wireless Providers,2026-02-09
GCI Wireless,"GSM,UMTS,VoLTE","EDGE,HSPA+,LTE,NR",Wikipedia - Wireless Providers,2026-02-09
Ketchikan Public Utilities,CDMA2000,"EV-DO,LTE",Wikipedia - Wireless Providers,2026-02-09
mobi,"VoNR,VoLTE","NR,LTE",Wikipedia - Wireless Providers,2026-02-09
OTZ Cellular,GSM,"EDGE,LTE",Wikipedia - Wireless Providers,2026-02-09
TelAlaska Cellular,GSM,"EDGE,LTE",Wikipedia - Wireless Providers,2026-02-09
T-Mobile,"GSM,VoLTE,VoNR,VoIP,Wi-Fi calling","EDGE,LTE,NR",Wikipedia - Wireless Providers,2026-02-09
Verizon,"VoLTE,VoNR,VoIP,Wi-Fi calling","LTE,NR",Wikipedia - Wireless Providers,2026-02-09
Claro(formerlyVerizon),"GSM,UMTS","EDGE,HSPA+,LTE",Wikipedia - Wireless Providers,2026-02-09
Liberty Puerto Rico(formerlyAT&T),"VoLTE,Wi-Fi calling","LTE,NR",Wikipedia - Wireless Providers,2026-02-09
T-Mobile,"GSM,VoLTE,VoNR,[28]VoIP,Wi-Fi calling","EDGE,LTE,NR",Wikipedia - Wireless Providers,2026-02-09
Viya,"GSM,UMTS","EDGE,HSPA+,LTE",Wikipedia - Wireless Providers,2026-02-09
Docomo Pacific,"GSM,UMTS","EDGE,HSPA+,LTE,NR",Wikipedia - Wireless Providers,2026-02-09
GTA,"GSM,UMTS","HSPA+,LTE, 5G",Wikipedia - Wireless Providers,2026-02-09
IT&E,"GSM,UMTS","EDGE,HSPA+,LTE",Wikipedia - Wireless Providers,2026-02-09
ASTCA,CDMA2000,EV-DO,Wikipedia - Wireless Providers,2026-02-09
Bluesky,"GSM,UMTS","EDGE,HSPA+,LTE",Wikipedia - Wireless Providers,2026-02-09
Airfire Mobile,GSM,EDGE,Wikipedia - Wireless Providers,2026-02-09
Alaska Communications,"GSM,UMTS(legacy:CDMA2000[33])","EDGE,HSPA+,LTE(legacy:EV-DO[33])",Wikipedia - Wireless Providers,2026-02-09
Alltel,CDMA,"CDMA2000,EV-DO",Wikipedia - Wireless Providers,2026-02-09
